1,0,0.19989,0.813
2,0,0.352102,0.186
3,0,0.38143,0.187
4,1.05367e-08,0.422591,0.24
5,0,0.248217,0.219
6,1.05367e-08,0.28432,0.26
7,0,0,0.238
8,0,0,0.122
9,0,0.313217,0.256
10,0,0.139476,0.226
11,1.05367e-08,0.298532,0.2
12,0,0.346654,0.234
13,0,0.137521,0.244
14,0,0.283936,0.225
15,0,0.0411695,0.245
16,0,0.256639,0.217
17,0,0.270678,0.21
18,0,0.294039,0.218
19,0,0.103345,0.253
20,0,0.159117,0.224
21,1.05367e-08,0.643243,0.223
22,0,0.315278,0.242
23,0,0.102479,0.228
24,0,0.207077,0.23
25,1.05367e-08,0.379717,0.217
26,0,0.313654,0.247
27,0,0.225948,0.229
28,1.05367e-08,0.178569,0.236
29,0,0.322011,0.197
30,0,0.328733,0.191
31,0,0.237964,0.192
32,0,0.381598,0.192
33,0,0.28269,0.196
34,0,0.331018,0.183
35,0,0.359227,0.19
36,0,0.18673,0.192
37,0,0.484482,0.189
38,0,0.298927,0.188
39,0,0.516191,0.205
40,1.05367e-08,0.305602,0.193
41,0,0.387951,0.191
42,0,0.176789,0.193
43,0,0.327532,0.187
44,0,0,0.199
45,0,0.0631494,0.188
46,1.05367e-08,0.360414,0.189
47,0,0,0.191
48,1.05367e-08,0.339169,0.114
49,0,0.23709,0.222
50,0,0.102358,0.208
51,0,0,0.2
52,0,0.291892,0.222
53,0,0.578873,0.213
54,0,0.400869,0.213
55,1.05367e-08,0.37844,0.032
56,0,0.0924638,0.219
57,0,0.487706,0.215
58,0,0.490787,0.128
59,0,0.308329,0.198
60,0,0,0.188
61,0,0.140891,0.189
62,0,0.703662,0.222
63,0,0.148457,0.211
64,0,0.137571,0.196
65,0,0.0647485,0.203
66,0,0.289488,0.12
67,0,0.328122,0.113
68,0,0.148069,0.112
69,0,0.303972,0.113
70,0,0.298388,0.111
71,0,0.485914,0.113
72,0,0.18672,0.112
73,1.05367e-08,0.225922,0.112
74,0,0.237598,0.112
75,0,0.408516,0.113
76,0,0,0.112
77,0,0.144692,0.138
78,0,0,0.046
79,0,0.382667,0.198
80,0,0.463474,0.377
81,0,0.382114,0.063
82,0,0.32881,0.111
83,0,0.359698,0.128
84,0,0.275021,0.112
85,0,0.249729,0.197
86,0,0.23873,0.106
87,0,0.148646,0.225
88,0,0.499106,0.091
89,0,0.191122,0.06
90,0,0.389254,0.202
91,0,0.403634,0.439
92,0,0.204936,0.13
93,0,0.342709,0.058
94,0,0.345082,0.07
95,0,0.324252,0.058
96,0,0.16155,0.144
97,0,0.338691,0.198
98,0,0.366019,0.239
99,0,0.278223,0.114
100,0,0,0.425
